"IND","Indicator","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"STC","State control","NLD","Netherlands","2008","2008",1.4395179,,
"STC","State control","NLD","Netherlands","2013","2013",1.4332321,,
"BTE","Barriers to entrepreneurship","NLD","Netherlands","1998","1998",2.2175746,,
"BTE","Barriers to entrepreneurship","NLD","Netherlands","2003","2003",1.9173061,,
"BTE","Barriers to entrepreneurship","NLD","Netherlands","2008","2008",1.3051759,,
"BTE","Barriers to entrepreneurship","NLD","Netherlands","2013","2013",1.1937436,,
"BTI","Barriers to trade and investment","NLD","Netherlands","1998","1998",0.2662203,,
"BTI","Barriers to trade and investment","NLD","Netherlands","2003","2003",0.2662203,,
"BTI","Barriers to trade and investment","NLD","Netherlands","2008","2008",0.14122029,,
"BTI","Barriers to trade and investment","NLD","Netherlands","2013","2013",0.11811931,,
"PMR","Product market regulation","NZL","New Zealand","1998","1998",1.4478482,,
"PMR","Product market regulation","NZL","New Zealand","2003","2003",1.2855355,,
"PMR","Product market regulation","NZL","New Zealand","2008","2008",1.2282597,,
"PMR","Product market regulation","NZL","New Zealand","2013","2013",1.2603095,,
"STC","State control","NZL","New Zealand","1998","1998",1.1793106,,
"STC","State control","NZL","New Zealand","2003","2003",1.5545529,,
"STC","State control","NZL","New Zealand","2008","2008",1.9283354,,
"STC","State control","NZL","New Zealand","2013","2013",2.061861,,
"BTE","Barriers to entrepreneurship","NZL","New Zealand","1998","1998",2.0620425,,
"BTE","Barriers to entrepreneurship","NZL","New Zealand","2003","2003",1.6373619,,
"BTE","Barriers to entrepreneurship","NZL","New Zealand","2008","2008",1.0917521,,
"BTE","Barriers to entrepreneurship","NZL","New Zealand","2013","2013",1.1848905,,
"BTI","Barriers to trade and investment","NZL","New Zealand","1998","1998",1.1021916,,
"BTI","Barriers to trade and investment","NZL","New Zealand","2003","2003",0.66469157,,
"BTI","Barriers to trade and investment","NZL","New Zealand","2008","2008",0.66469157,,
"BTI","Barriers to trade and investment","NZL","New Zealand","2013","2013",0.53417683,,
"PMR","Product market regulation","NOR","Norway","1998","1998",1.8689063,,
"PMR","Product market regulation","NOR","Norway","2003","2003",1.556374,,
"PMR","Product market regulation","NOR","Norway","2008","2008",1.5383915,,
"PMR","Product market regulation","NOR","Norway","2013","2013",1.4623799,,
"STC","State control","NOR","Norway","1998","1998",2.809582,,
"STC","State control","NOR","Norway","2003","2003",2.1849089,,
"STC","State control","NOR","Norway","2008","2008",2.19507,,
"STC","State control","NOR","Norway","2013","2013",2.1297629,,
"BTE","Barriers to entrepreneurship","NOR","Norway","1998","1998",2.1934314,,
"BTE","Barriers to entrepreneurship","NOR","Norway","2003","2003",1.8805077,,
"BTE","Barriers to entrepreneurship","NOR","Norway","2008","2008",1.816399,,
"BTE","Barriers to entrepreneurship","NOR","Norway","2013","2013",1.6907456,,
"BTI","Barriers to trade and investment","NOR","Norway","1998","1998",0.60370535,,
"BTI","Barriers to trade and investment","NOR","Norway","2003","2003",0.60370535,,
"BTI","Barriers to trade and investment","NOR","Norway","2008","2008",0.60370535,,
"BTI","Barriers to trade and investment","NOR","Norway","2013","2013",0.5666315,,
"PMR","Product market regulation","POL","Poland","1998","1998",3.1902363,,
"PMR","Product market regulation","POL","Poland","2003","2003",2.4230654,,
"PMR","Product market regulation","POL","Poland","2008","2008",2.0442531,,
"PMR","Product market regulation","POL","Poland","2013","2013",1.6479105,,
"STC","State control","POL","Poland","1998","1998",2.974679,,
"STC","State control","POL","Poland","2003","2003",3.569165,,
"STC","State control","POL","Poland","2008","2008",3.3164487,,
"STC","State control","POL","Poland","2013","2013",3.0631847,,
"BTE","Barriers to entrepreneurship","POL","Poland","1998","1998",3.4479046,,
"BTE","Barriers to entrepreneurship","POL","Poland","2003","2003",3.1132698,,
"BTE","Barriers to entrepreneurship","POL","Poland","2008","2008",2.4902654,,
"BTE","Barriers to entrepreneurship","POL","Poland","2013","2013",1.6357514,,
"BTI","Barriers to trade and investment","POL","Poland","1998","1998",3.1481252,,
"BTI","Barriers to trade and investment","POL","Poland","2003","2003",0.58676136,,
"BTI","Barriers to trade and investment","POL","Poland","2008","2008",0.32604545,,
"BTI","Barriers to trade and investment","POL","Poland","2013","2013",0.24479546,,
"PMR","Product market regulation","PRT","Portugal","1998","1998",2.5889282,,
"PMR","Product market regulation","PRT","Portugal","2003","2003",2.1228745,,
"PMR","Product market regulation","PRT","Portugal","2008","2008",1.6915776,,
"PMR","Product market regulation","PRT","Portugal","2013","2013",1.2948341,,
"STC","State control","PRT","Portugal","1998","1998",4.0446529,,
"STC","State control","PRT","Portugal","2003","2003",3.4168065,,
"STC","State control","PRT","Portugal","2008","2008",2.8948812,,
"STC","State control","PRT","Portugal","2013","2013",2.1832292,,
"BTE","Barriers to entrepreneurship","PRT","Portugal","1998","1998",2.8155432,,
"BTE","Barriers to entrepreneurship","PRT","Portugal","2003","2003",2.0452285,,
"BTE","Barriers to entrepreneurship","PRT","Portugal","2008","2008",1.8277801,,
"BTE","Barriers to entrepreneurship","PRT","Portugal","2013","2013",1.3492019,,
"BTI","Barriers to trade and investment","PRT","Portugal","1998","1998",0.90658849,,
"BTI","Barriers to trade and investment","PRT","Portugal","2003","2003",0.90658849,,
"BTI","Barriers to trade and investment","PRT","Portugal","2008","2008",0.35207143,,
"BTI","Barriers to trade and investment","PRT","Portugal","2013","2013",0.35207143,,
"PMR","Product market regulation","SVK","Slovak Republic","2003","2003",2.1753342,,
"PMR","Product market regulation","SVK","Slovak Republic","2008","2008",1.6203208,,
"PMR","Product market regulation","SVK","Slovak Republic","2013","2013",1.2876289,,
"STC","State control","SVK","Slovak Republic","2003","2003",3.0676188,,
"STC","State control","SVK","Slovak Republic","2008","2008",2.3554614,,
"STC","State control","SVK","Slovak Republic","2013","2013",2.1656051,,
"BTE","Barriers to entrepreneurship","SVK","Slovak Republic","2003","2003",2.1535542,,
"BTE","Barriers to entrepreneurship","SVK","Slovak Republic","2008","2008",1.7381487,,
"BTE","Barriers to entrepreneurship","SVK","Slovak Republic","2013","2013",1.1486793,,
"BTI","Barriers to trade and investment","SVK","Slovak Republic","2003","2003",1.3048296,,
"BTI","Barriers to trade and investment","SVK","Slovak Republic","2008","2008",0.76735228,,
"BTI","Barriers to trade and investment","SVK","Slovak Republic","2013","2013",0.54860228,,
"PMR","Product market regulation","ESP","Spain","1998","1998",2.3907137,,
"PMR","Product market regulation","ESP","Spain","2003","2003",1.79346,,
"PMR","Product market regulation","ESP","Spain","2008","2008",1.5946069,,
"PMR","Product market regulation","ESP","Spain","2013","2013",1.4419456,,
"STC","State control","ESP","Spain","1998","1998",3.6870742,,
"STC","State control","ESP","Spain","2003","2003",2.4938581,,
"STC","State control","ESP","Spain","2008","2008",2.1627815,,
"STC","State control","ESP","Spain","2013","2013",1.8570992,,
"BTE","Barriers to entrepreneurship","ESP","Spain","1998","1998",3.0646734,,
"BTE","Barriers to entrepreneurship","ESP","Spain","2003","2003",2.4661286,,
"BTE","Barriers to entrepreneurship","ESP","Spain","2008","2008",2.2006459,,
"BTE","Barriers to entrepreneurship","ESP","Spain","2013","2013",2.1036661,,
"BTI","Barriers to trade and investment","ESP","Spain","1998","1998",0.42039341,,
"BTI","Barriers to trade and investment","ESP","Spain","2003","2003",0.42039341,,
"BTI","Barriers to trade and investment","ESP","Spain","2008","2008",0.42039341,,
"BTI","Barriers to trade and investment","ESP","Spain","2013","2013",0.36507145,,
"PMR","Product market regulation","SWE","Sweden","1998","1998",1.8893653,,
"PMR","Product market regulation","SWE","Sweden","2003","2003",1.5037125,,
"PMR","Product market regulation","SWE","Sweden","2008","2008",1.6056908,,
"PMR","Product market regulation","SWE","Sweden","2013","2013",1.5194523,,
"STC","State control","SWE","Sweden","1998","1998",2.2054441,,
"STC","State control","SWE","Sweden","2003","2003",1.9095371,,
"STC","State control","SWE","Sweden","2008","2008",2.388495,,
"STC","State control","SWE","Sweden","2013","2013",2.2244525,,
"BTE","Barriers to entrepreneurship","SWE","Sweden","1998","1998",2.8466206,,
"BTE","Barriers to entrepreneurship","SWE","Sweden","2003","2003",1.9855694,,
"BTE","Barriers to entrepreneurship","SWE","Sweden","2008","2008",1.8125463,,
"BTE","Barriers to entrepreneurship","SWE","Sweden","2013","2013",1.7104869,,
"BTI","Barriers to trade and investment","SWE","Sweden","1998","1998",0.61603129,,
"BTI","Barriers to trade and investment","SWE","Sweden","2003","2003",0.61603129,,
"BTI","Barriers to trade and investment","SWE","Sweden","2008","2008",0.61603129,,
"BTI","Barriers to trade and investment","SWE","Sweden","2013","2013",0.62341756,,
"PMR","Product market regulation","CHE","Switzerland","1998","1998",2.4865787,,
"PMR","Product market regulation","CHE","Switzerland","2003","2003",1.9915488,,
"PMR","Product market regulation","CHE","Switzerland","2008","2008",1.5473166,,
"PMR","Product market regulation","CHE","Switzerland","2013","2013",1.4997592,,
"STC","State control","CHE","Switzerland","1998","1998",3.052331,,
"STC","State control","CHE","Switzerland","2003","2003",2.7534988,,
"STC","State control","CHE","Switzerland","2008","2008",2.6552005,,
"STC","State control","CHE","Switzerland","2013","2013",2.6783919,,
"BTE","Barriers to entrepreneurship","CHE","Switzerland","1998","1998",2.9437149,,
"BTE","Barriers to entrepreneurship","CHE","Switzerland","2003","2003",2.5074573,,
"BTE","Barriers to entrepreneurship","CHE","Switzerland","2008","2008",1.6168085,,
"BTE","Barriers to entrepreneurship","CHE","Switzerland","2013","2013",1.5583315,,
"BTI","Barriers to trade and investment","CHE","Switzerland","1998","1998",1.4636905,,
"BTI","Barriers to trade and investment","CHE","Switzerland","2003","2003",0.71369046,,
"BTI","Barriers to trade and investment","CHE","Switzerland","2008","2008",0.36994046,,
"BTI","Barriers to trade and investment","CHE","Switzerland","2013","2013",0.26255411,,
"PMR","Product market regulation","TUR","Turkey","1998","1998",3.2822793,,
"PMR","Product market regulation","TUR","Turkey","2003","2003",2.8231599,,
"PMR","Product market regulation","TUR","Turkey","2008","2008",2.6513693,,
"PMR","Product market regulation","TUR","Turkey","2013","2013",2.4599974,,
"STC","State control","TUR","Turkey","1998","1998",4.4233427,,
"STC","State control","TUR","Turkey","2003","2003",4.1465597,,
"STC","State control","TUR","Turkey","2008","2008",3.6556759,,
"STC","State control","TUR","Turkey","2013","2013",3.4363689,,
"BTE","Barriers to entrepreneurship","TUR","Turkey","1998","1998",3.5674233,,
"BTE","Barriers to entrepreneurship","TUR","Turkey","2003","2003",3.0293486,,
"BTE","Barriers to entrepreneurship","TUR","Turkey","2008","2008",2.8967924,,
"BTE","Barriers to entrepreneurship","TUR","Turkey","2013","2013",2.7794077,,
"BTI","Barriers to trade and investment","TUR","Turkey","1998","1998",1.8560715,,
"BTI","Barriers to trade and investment","TUR","Turkey","2003","2003",1.2935715,,
"BTI","Barriers to trade and investment","TUR","Turkey","2008","2008",1.4016396,,
"BTI","Barriers to trade and investment","TUR","Turkey","2013","2013",1.1642154,,
"PMR","Product market regulation","GBR","United Kingdom","1998","1998",1.3192157,,
"PMR","Product market regulation","GBR","United Kingdom","2003","2003",1.0981007,,
"PMR","Product market regulation","GBR","United Kingdom","2008","2008",1.2081584,,
"PMR","Product market regulation","GBR","United Kingdom","2013","2013",1.0840274,,
"STC","State control","GBR","United Kingdom","1998","1998",1.6806819,,
"STC","State control","GBR","United Kingdom","2003","2003",1.1534009,,
"STC","State control","GBR","United Kingdom","2008","2008",1.6318237,,
"STC","State control","GBR","United Kingdom","2013","2013",1.5711745,,
"BTE","Barriers to entrepreneurship","GBR","United Kingdom","1998","1998",1.9560887,,
"BTE","Barriers to entrepreneurship","GBR","United Kingdom","2003","2003",1.8200246,,
"BTE","Barriers to entrepreneurship","GBR","United Kingdom","2008","2008",1.7397295,,
"BTE","Barriers to entrepreneurship","GBR","United Kingdom","2013","2013",1.4854102,,
"BTI","Barriers to trade and investment","GBR","United Kingdom","1998","1998",0.32087636,,
"BTI","Barriers to trade and investment","GBR","United Kingdom","2003","2003",0.32087636,,
"BTI","Barriers to trade and investment","GBR","United Kingdom","2008","2008",0.25292182,,
"BTI","Barriers to trade and investment","GBR","United Kingdom","2013","2013",0.19549757,,
"PMR","Product market regulation","USA","United States","1998","1998",1.6283404,,
"PMR","Product market regulation","USA","United States","2003","2003",1.4366081,,
"PMR","Product market regulation","USA","United States","2008","2008",1.5897976,,
"PMR","Product market regulation","USA","United States","2013","2013",1.5905634,,
"STC","State control","USA","United States","1998","1998",1.9615388,,
"STC","State control","USA","United States","2003","2003",1.8008504,,
"STC","State control","USA","United States","2008","2008",2.6539257,,
"STC","State control","USA","United States","2013","2013",2.7027779,,
"BTE","Barriers to entrepreneurship","USA","United States","1998","1998",1.9993999,,
"BTE","Barriers to entrepreneurship","USA","United States","2003","2003",1.6473916,,
"BTE","Barriers to entrepreneurship","USA","United States","2008","2008",1.5663848,,
"BTE","Barriers to entrepreneurship","USA","United States","2013","2013",1.5531635,,
"BTI","Barriers to trade and investment","USA","United States","1998","1998",0.92408228,,
"BTI","Barriers to trade and investment","USA","United States","2003","2003",0.86158228,,
"BTI","Barriers to trade and investment","USA","United States","2008","2008",0.54908228,,
"BTI","Barriers to trade and investment","USA","United States","2013","2013",0.51574892,,
"PMR","Product market regulation","BRA","Brazil","2008","2008",2.5396159,,
"PMR","Product market regulation","BRA","Brazil","2013","2013",2.5427973,,
"STC","State control","BRA","Brazil","2008","2008",2.6483107,,
"STC","State control","BRA","Brazil","2013","2013",2.5120125,,
"BTE","Barriers to entrepreneurship","BRA","Brazil","2008","2008",2.79953,,
"BTE","Barriers to entrepreneurship","BRA","Brazil","2013","2013",2.8778348,,
"BTI","Barriers to trade and investment","BRA","Brazil","2008","2008",2.1710067,,
"BTI","Barriers to trade and investment","BRA","Brazil","2013","2013",2.2385445,,
"PMR","Product market regulation","CHL","Chile","2008","2008",1.7484802,,
"PMR","Product market regulation","CHL","Chile","2013","2013",1.5142038,,
"STC","State control","CHL","Chile","2008","2008",2.3310211,,
"STC","State control","CHL","Chile","2013","2013",2.0950522,,
"BTE","Barriers to entrepreneurship","CHL","Chile","2008","2008",2.4470901,,
"BTE","Barriers to entrepreneurship","CHL","Chile","2013","2013",2.0217474,,
"BTI","Barriers to trade and investment","CHL","Chile","2008","2008",0.46732956,,
"BTI","Barriers to trade and investment","CHL","Chile","2013","2013",0.42581168,,
"PMR","Product market regulation","CHN","China (People's Republic of)","2008","2008",3.1691127,,
"PMR","Product market regulation","CHN","China (People's Republic of)","2013","2013",2.8601627,,
"STC","State control","CHN","China (People's Republic of)","2008","2008",4.0801601,,
"STC","State control","CHN","China (People's Republic of)","2013","2013",3.5665529,,
"BTE","Barriers to entrepreneurship","CHN","China (People's Republic of)","2008","2008",3.1593003,,
"BTE","Barriers to entrepreneurship","CHN","China (People's Republic of)","2013","2013",3.1272433,,
"BTI","Barriers to trade and investment","CHN","China (People's Republic of)","2008","2008",2.2678778,,
"BTI","Barriers to trade and investment","CHN","China (People's Republic of)","2013","2013",1.8866923,,
"PMR","Product market regulation","EST","Estonia","2008","2008",1.3697752,,
"PMR","Product market regulation","EST","Estonia","2013","2013",1.2916979,,
"STC","State control","EST","Estonia","2008","2008",1.8073441,,
"STC","State control","EST","Estonia","2013","2013",1.6063105,,
"BTE","Barriers to entrepreneurship","EST","Estonia","2008","2008",1.7760372,,
"BTE","Barriers to entrepreneurship","EST","Estonia","2013","2013",1.5589573,,
"BTI","Barriers to trade and investment","EST","Estonia","2008","2008",0.52594435,,
"BTI","Barriers to trade and investment","EST","Estonia","2013","2013",0.70982575,,
"PMR","Product market regulation","IND","India","2008","2008",3.3993695,,
"PMR","Product market regulation","IND","India","2013","2013",3.0987148,,
"STC","State control","IND","India","2008","2008",3.7330012,,
"STC","State control","IND","India","2013","2013",4.0235624,,
"BTE","Barriers to entrepreneurship","IND","India","2008","2008",4.1192832,,
"BTE","Barriers to entrepreneurship","IND","India","2013","2013",3.6056964,,
"BTI","Barriers to trade and investment","IND","India","2008","2008",2.3458238,,
"BTI","Barriers to trade and investment","IND","India","2013","2013",1.6668857,,
"PMR","Product market regulation","IDN","Indonesia","2013","2013",2.8520231,,
"STC","State control","IDN","Indonesia","2013","2013",4.0419087,,
"BTE","Barriers to entrepreneurship","IDN","Indonesia","2013","2013",2.7158403,,
"BTI","Barriers to trade and investment","IDN","Indonesia","2013","2013",1.7983203,,
"PMR","Product market regulation","ISR","Israel","2008","2008",2.2279277,,
"PMR","Product market regulation","ISR","Israel","2013","2013",2.1493695,,
"STC","State control","ISR","Israel","2008","2008",3.021214,,
"STC","State control","ISR","Israel","2013","2013",2.9197478,,
"BTE","Barriers to entrepreneurship","ISR","Israel","2008","2008",2.5689042,,
"BTE","Barriers to entrepreneurship","ISR","Israel","2013","2013",2.4989583,,
"BTI","Barriers to trade and investment","ISR","Israel","2008","2008",1.0936648,,
"BTI","Barriers to trade and investment","ISR","Israel","2013","2013",1.029402,,
"PMR","Product market regulation","RUS","Russia","2008","2008",2.6860087,,
"PMR","Product market regulation","RUS","Russia","2013","2013",2.2204349,,
"STC","State control","RUS","Russia","2008","2008",3.8395662,,
"STC","State control","RUS","Russia","2013","2013",3.4125738,,
"BTE","Barriers to entrepreneurship","RUS","Russia","2008","2008",2.2754631,,
"BTE","Barriers to entrepreneurship","RUS","Russia","2013","2013",1.5436361,,
"BTI","Barriers to trade and investment","RUS","Russia","2008","2008",1.9429967,,
"BTI","Barriers to trade and investment","RUS","Russia","2013","2013",1.7050946,,
"PMR","Product market regulation","SVN","Slovenia","2008","2008",1.8889768,,
"PMR","Product market regulation","SVN","Slovenia","2013","2013",1.7019552,,
"STC","State control","SVN","Slovenia","2008","2008",2.7422261,,
"STC","State control","SVN","Slovenia","2013","2013",2.5027826,,
"BTE","Barriers to entrepreneurship","SVN","Slovenia","2008","2008",1.9991704,,
"BTE","Barriers to entrepreneurship","SVN","Slovenia","2013","2013",1.8089505,,
"BTI","Barriers to trade and investment","SVN","Slovenia","2008","2008",0.92553407,,
"BTI","Barriers to trade and investment","SVN","Slovenia","2013","2013",0.79413259,,
"PMR","Product market regulation","ZAF","South Africa","2008","2008",2.6524577,,
"PMR","Product market regulation","ZAF","South Africa","2013","2013",2.2091889,,
"STC","State control","ZAF","South Africa","2008","2008",3.4202137,,
"STC","State control","ZAF","South Africa","2013","2013",3.1237378,,
"BTE","Barriers to entrepreneurship","ZAF","South Africa","2008","2008",2.6515632,,
"BTE","Barriers to entrepreneurship","ZAF","South Africa","2013","2013",2.1655295,,
"BTI","Barriers to trade and investment","ZAF","South Africa","2008","2008",1.8855966,,
"BTI","Barriers to trade and investment","ZAF","South Africa","2013","2013",1.3382995,,
"PMR","Product market regulation","BGR","Bulgaria","2013","2013",1.5748541,,
"BTE","Barriers to entrepreneurship","BGR","Bulgaria","2013","2013",1.6994221,,
"STC","State control","BGR","Bulgaria","2013","2013",2.7962942,,
"BTI","Barriers to trade and investment","BGR","Bulgaria","2013","2013",0.22884616,,
"PMR","Product market regulation","HRV","Croatia","2013","2013",2.0754354,,
"STC","State control","HRV","Croatia","2013","2013",2.5346816,,
"BTE","Barriers to entrepreneurship","HRV","Croatia","2013","2013",1.9851851,,
"BTI","Barriers to trade and investment","HRV","Croatia","2013","2013",1.7064394,,
"PMR","Product market regulation","CYP","Cyprus","2013","2013",1.650093,,
"STC","State control","CYP","Cyprus","2013","2013",2.2615614,,
"BTE","Barriers to entrepreneurship","CYP","Cyprus","2013","2013",2.0902066,,
"BTI","Barriers to trade and investment","CYP","Cyprus","2013","2013",0.59851104,,
"PMR","Product market regulation","LVA","Latvia","2013","2013",1.6076627,,
"STC","State control","LVA","Latvia","2013","2013",2.0225277,,
"BTE","Barriers to entrepreneurship","LVA","Latvia","2013","2013",2.0341306,,
"BTI","Barriers to trade and investment","LVA","Latvia","2013","2013",0.76632959,,
"PMR","Product market regulation","LTU","Lithuania","2013","2013",1.5155052,,
"STC","State control","LTU","Lithuania","2013","2013",2.179651,,
"BTE","Barriers to entrepreneurship","LTU","Lithuania","2013","2013",1.5689278,,
"BTI","Barriers to trade and investment","LTU","Lithuania","2013","2013",0.79793668,,
"PMR","Product market regulation","MLT","Malta","2013","2013",1.5675349,,
"STC","State control","MLT","Malta","2013","2013",1.9519048,,
"BTE","Barriers to entrepreneurship","MLT","Malta","2013","2013",2.1835127,,
"BTI","Barriers to trade and investment","MLT","Malta","2013","2013",0.56718749,,
"PMR","Product market regulation","ROU","Romania","2013","2013",1.6869421,,
"STC","State control","ROU","Romania","2013","2013",2.7800283,,
"BTE","Barriers to entrepreneurship","ROU","Romania","2013","2013",2.0637703,,
"BTI","Barriers to trade and investment","ROU","Romania","2013","2013",0.21702759,,
